file,subject,N,frames,down,up,eq,empty,total_drop,total_fill
Jalan60.csv,E,64,124,40,82,2,0,956,2685
Jalan61.csv,E,64,172,52,119,1,0,1343,3331
Jalan62.csv,E,64,155,28,126,1,0,452,3747
Jalan63.csv,E,64,331,47,283,1,0,681,10738
Jalan64.csv,E,64,307,74,233,0,0,1347,8559
Jalan65.csv,E,64,269,73,193,3,0,1966,5435
Jalan66.csv,E,64,233,95,133,5,0,2198,2898
Jalan67.csv,E,64,251,27,223,1,0,485,7815
Jalan68.csv,E,64,201,88,110,3,0,2438,2883
Jalan69.csv,E,64,228,52,176,0,0,1302,5640
Jalan7.csv,E,64,86,28,57,1,0,433,1772
Jalan70.csv,E,64,163,87,74,2,0,2394,1874
Jalan71.csv,E,64,467,89,375,3,0,1600,12659
Jalan72.csv,E,64,436,158,268,10,0,4917,7676
Jalan8.csv,E,64,85,27,57,1,0,411,2162
Jalan9.csv,E,64,82,28,54,0,0,846,1708
Jalan1.csv,F,64,75,19,54,2,0,199,1058
Jalan10.csv,F,64,97,16,79,2,0,346,2796
Jalan11.csv,F,64,97,28,69,0,0,511,1998
Jalan12.csv,F,64,95,18,76,1,0,511,2624
Jalan13.csv,F,64,105,30,72,3,0,463,2154
Jalan14.csv,F,64,105,14,91,0,0,160,3184
Jalan15.csv,F,64,245,20,222,3,0,292,7470
Jalan16.csv,F,64,269,44,219,6,0,679,7420
Jalan17.csv,F,64,238,70,164,4,0,1388,5317
Jalan18.csv,F,64,195,92,102,1,0,2292,3011
Jalan19.csv,F,64,214,39,175,0,0,641,6623
Jalan2.csv,F,64,89,49,39,1,0,1648,939
Jalan20.csv,F,64,208,35,172,1,0,828,5290
Jalan21.csv,F,64,171,53,117,1,0,1353,3230
Jalan22.csv,F,64,159,69,89,1,0,1910,2732
Jalan23.csv,F,64,398,79,314,5,0,1419,10213
Jalan24.csv,F,64,383,137,241,5,0,3883,7709
Jalan25.csv,F,64,70,11,57,2,0,84,1452
Jalan26.csv,F,64,76,40,36,0,0,1260,1088
Jalan27.csv,F,64,74,29,44,1,0,655,1178
Jalan28.csv,F,64,36,0,36,0,0,0,2042
Jalan29.csv,F,64,49,0,49,0,0,0,2316
Jalan3.csv,F,64,86,42,42,2,0,966,1436
Jalan30.csv,F,64,68,6,61,1,0,32,2083
Jalan31.csv,F,64,69,12,56,1,0,92,1811
Jalan32.csv,F,64,69,21,47,1,0,393,1863
Jalan33.csv,F,64,72,12,60,0,0,157,1834
Jalan34.csv,F,64,75,8,67,0,0,101,2625
