file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan4.csv,F,48,46,0,46,0,0,0,1729,0
Jalan40.csv,F,48,186,48,135,3,0,1218,3333,0
Jalan41.csv,F,48,160,86,72,2,0,2082,1673,0
Jalan42.csv,F,48,133,93,36,4,0,2971,609,0
Jalan43.csv,F,48,177,36,136,5,0,598,3480,0
Jalan44.csv,F,48,182,57,122,3,0,1442,2695,0
Jalan45.csv,F,48,154,74,77,3,0,2203,1766,0
Jalan46.csv,F,48,119,72,46,1,0,2459,1017,0
Jalan47.csv,F,48,330,128,196,6,0,3214,5207,0
Jalan48.csv,F,48,302,128,170,4,0,4131,3943,0
Jalan49.csv,F,48,98,52,46,0,0,956,810,0
Jalan5.csv,F,48,60,1,59,0,0,4,1786,0
Jalan50.csv,F,48,99,72,25,2,0,2969,505,0
Jalan51.csv,F,48,102,51,51,0,0,1496,1134,0
Jalan52.csv,F,48,48,0,48,0,0,0,1893,0
Jalan53.csv,F,48,72,2,70,0,0,7,2145,0
Jalan54.csv,F,48,94,23,67,4,0,259,1713,0
Jalan55.csv,F,48,89,36,52,1,0,751,1381,0
Jalan56.csv,F,48,81,41,40,0,0,879,1296,0
Jalan57.csv,F,48,96,52,43,1,0,2265,1066,0
Jalan58.csv,F,48,98,30,67,1,0,617,1868,0
Jalan59.csv,F,48,81,36,43,2,0,543,1010,0
Jalan6.csv,F,48,73,23,50,0,0,300,1141,0
Jalan60.csv,F,48,106,30,73,3,0,473,2169,0
Jalan61.csv,F,48,107,67,40,0,0,1658,859,0
Jalan62.csv,F,48,102,36,66,0,0,923,1551,0
Jalan63.csv,F,48,253,67,182,4,0,1250,4815,0
Jalan64.csv,F,48,268,94,171,3,0,1903,4366,0
Jalan65.csv,F,48,229,104,120,5,0,2685,2940,0
Jalan66.csv,F,48,180,128,49,3,0,3867,879,0
Jalan67.csv,F,48,208,43,161,4,0,849,4229,0
Jalan68.csv,F,48,254,81,172,1,0,1712,4511,0
Jalan69.csv,F,48,203,91,106,6,0,2474,2304,0
Jalan7.csv,F,48,75,30,42,3,0,600,1132,0
Jalan70.csv,F,48,164,102,62,0,0,3124,1349,0
Jalan71.csv,F,48,428,188,236,4,0,4368,6011,0
Jalan72.csv,F,48,400,224,174,2,0,7777,4003,0
Jalan8.csv,F,48,78,33,45,0,0,929,1407,0
Jalan9.csv,F,48,103,57,46,0,0,2540,1249,0
Jalan1.csv,G,48,93,48,42,3,0,749,699,0
Jalan10.csv,G,48,98,32,64,2,0,779,1653,0
Jalan11.csv,G,48,74,48,25,1,0,707,460,0
Jalan12.csv,G,48,97,38,59,0,0,1170,1295,0
Jalan13.csv,G,48,109,64,44,1,0,1978,1083,0
Jalan14.csv,G,48,106,37,67,2,0,638,1607,0
Jalan15.csv,G,48,235,60,175,0,0,1157,4728,0
Jalan16.csv,G,48,236,89,142,5,0,1999,3341,0
Jalan17.csv,G,48,214,107,107,0,0,2333,2335,0
Jalan18.csv,G,48,191,127,60,4,0,4507,1335,0
Jalan19.csv,G,48,231,51,180,0,0,1086,4768,0
Jalan2.csv,G,48,101,66,33,2,0,2737,628,0
Jalan20.csv,G,48,196,61,132,3,0,1049,3373,0
Jalan21.csv,G,48,174,81,90,3,0,2156,1930,0
Jalan22.csv,G,48,155,100,53,2,0,3724,1018,0
Jalan23.csv,G,48,387,104,279,4,0,2032,6663,0
Jalan24.csv,G,48,376,164,205,7,0,5182,4526,0
Jalan25.csv,G,48,64,22,38,4,0,414,756,0
Jalan26.csv,G,48,77,56,20,1,0,2070,377,0
